id,style,name,alcohol_by_volume,brewery_id,description,TRUE
2003,"German-Style Heller Bock/Maibock","Sprecher Maibock",6,1181,"Pale malt flavors are balanced with a rich hop character and a light fruit bouquet in this seasonal spring lager. Traditional dry-hopping and extended aging give this blonde bock a distinctive flowery aroma and a potent kick.",1
2008,"American-Style Barley Wine Ale","John Barleycorn Barleywine Style Ale",9,810,"Our Seasonal Offering. We honor the Harvest & Holidays each year by brewing a traditional Barleywine style ale, using a variety of ingredients. The Label, created by local artist Janis Taylor, is a folksy woodcut based on the tale of John Barleycorn in verse.


Brewed in small 10-barrel batches with Certified Organic barley malt, this crimson hued ale has a sweet caramel nose with a zesty spicy, citrus taste. It has a slight hop finish and leaves a warm, tingling sensation on the tongue. A great winter warmer!

Starting Gravity 	1.098

Finish Gravity 	1.020

ABV 	9.5

IBU 	96


-http://www.madriverbrewing.com/pages/brews/john_barleycorn.html",1
2011,"German-Style Doppelbock","Butthead Doppelbock",8.1999998093,1271,"High Gravity Butt Head Doppelbock Lager is brewed with a generous amount of roasted malts producing caramel sweetness and rich mouthfeel. Why Butt Head? Try one. You'll enjoy "big brew" flavor with the intensity of a "head butting" Bighorn Ram!",1
2013,"Belgian-Style Tripel","La Trappe Tripel",8,110,,1
2014,"Traditional German-Style Bock",Elephant,7.1999998093,344,,1
2016,"Traditional German-Style Bock","Big Butt Doppelbock",5.8000001907,708,,1
2025,Porter,"Black Butte Porter",5.1999998093,441,"Towering high above Central Oregon, jetting into clear blue skies, Black Butte can be seen for miles.  From its base flows the legendary Metolius River--with its source hidden deep beneath ancient lava flows. 


Black Butte Porter, crafted from chocolate and crystal malts, is Deschutes Breweryâ€™s flagship brand.  With a rich and distinctive flavor, this porter has enjoyed a loyal and passionate following since its first pint in 1988.",1
2028,"American-Style Imperial Stout",Dragonslayer,9.5,857,"Brewed in the style of a Russian Imperial Stout. Strong, chocolatety and aggressively hopped with finest English hops.",1
2034,"Imperial or Double India Pale Ale","Racer X",7.8000001907,94,"This bold winter ale follows English brewing traditions, but with our California twist. Bold hops, but balanced ... It's a double IPA!",1
2057,"Scotch Ale","Kilt Kicker Wee Heavy",7,536,,1
2118,"Traditional German-Style Bock","47 Bryg",7,344,,1
2153,"Light American Wheat Ale or Lager",Razz-Wheat,5,930,,1
2154,Porter,"Snake Pit Porter",5.5999999046,930,,1
2155,"American-Style Amber/Red Ale","Indiana Amber",5.5,930,,1
2162,"American-Style Amber/Red Ale","Whose Ear? Red Ale",4,77,,1
2163,Porter,"Rust Belt Porter",4.0999999046,77,,1
2165,"American-Style Pale Ale","Blind Tiger Pale Ale",4.8000001907,77,,1
2166,"American-Style Lager","Flat Belly American Wheat",3.5999999046,77,,1
2178,"American-Style Lager","Red Lager",4.9000000954,708,,1
2181,"American-Style Amber/Red Ale",Raftman,5.5,1307,"Launched in March 1995, Raftman is a beer with a coral sheen that is slightly robust. It contains 5.5 percent alcohol and combines the character of whisky malt with the smooth flavours of choice yeast. It has a subtle and exceptional bouquet that creates a persistent smooth feel. Raftman complements fish, smoked meat and spicy dishes. .


It is brewed to commemorate the legendary courage of the forest workers These hard working men knew when to settle their differences and share their joie de vivre with a beer and a whisky.",1
2189,"American-Style Lager",Hefeweizen,5,652,,1
2222,"Golden or Blonde Ale",Belzebuth,13,193,"Beer of top fermentation, Belzebuth represents the achievement of a more than one hundred year-old know-how, the one of the Brewery Grain d'Orge. Under its copper colour, it hides a strong character for the lovers of sensations. It owes its strength to the subtle mixture of pure malts, hops and yeasts especially selected by our Master-Brewer.


At one time this beer was 15%. After the name change it was lowered to 13%.",1
2223,"Scotch Ale","Cow Palace Scotch Ale 2001",11.100000381,483,,1
2224,"American-Style Barley Wine Ale","Hog Heaven Barleywine",9.1999998093,62,"This dangerously drinkable garnet beauty is a hop lover's delight.  The intense dry-hop nose and the alcohol content are perfectly balanced for a caramel candy-like malt finish.  This is a serious beer for serious beer afficianados and it only gets better with age.  Cellerable for 3 years.",1
2238,"American-Style Stout",Porter,7.8000001907,1094,,1
2240,Porter,Porter,5.5999999046,39,,1
2241,Porter,"Taddy Porter",5,1099,,1
2242,"Sweet Stout","Mackeson XXX Stout",4.9000000954,1356,,1
2243,"American-Style Stout","Old No.38 Stout",5.5,919,"Named for a retired California Western Railroad steam engine on the Fort Bragg to Willits run through the Redwoods, Old No. 38 Stout is a smooth, firm-bodied stout with the toasted character and coffee notes of dark malts and roasted barley.",1
2245,"Scotch Ale","House Ale",7.1999998093,1281,,1
2247,"Scottish-Style Light Ale","Scottish Ale",3.9000000954,98,"Malty and hoppy, we at Belhaven love the classic Scottish Ale and we've been brewing it longer than any of the other beers we produce. Delivering a sweet, smooth and creamy finish, Scottish Ale has a stunning ruby colour in the glass. Magic.",1
2250,"American-Style Brown Ale",Maduro,6.4000000954,585,,1
2259,"Old Ale","Harvest Ale 1998",11.5,727,,1
2260,"Old Ale","Harvest Ale 1999",11.5,727,,1
2284,"Old Ale","Harvest Ale 1997",11.5,727,,1
2286,"American-Style Stout","Imperial Stout 2001",9.470000267,1204,,1
2290,"American-Style India Pale Ale","Bitter Woman IPA",5.75,1301,"Lest we forget Aunt Cal, an early resident of Lake Mills.  Local history remembers her for blindly running into a hitching post and saying, "Excuse me, Dr. Dodge!"  It was said that she was an old sweetheart of the famous American poet, Henry Wadsworth Longfellow.  And she still had the love letters to prove it!  Sadly, Aunt Cal never wed.  We brewed our Bitter Woman IPA the way we imagine Aunt Cal may have been, very fruity and intensely bitter.  So lift up a pint of Bitter Woman IPA and toast Aunt Cal and the bitter woman you know.  Cheers!


Bitter Woman IPA is our Wisconsin variation of an India Pale Ale.  This beer is intensely bitter with a mighty hop flavor and aroma.",1
2293,"American-Style India Pale Ale","Im Paled Ale",6.5,857,"A complex and artistically balanced multi-layered IPA (India Pale Ale) with an intense finish of cascade hops.",1
2295,"American-Style Amber/Red Ale","Grail Ale",5.5,857,"An amber ale with a ruby hue, fresh hop aroma, rich malt body and a complex palate.",1
2296,"Extra Special Bitter","Beast Bitter",5.3000001907,857,"This special bitter displays the subtle coppery hue of "Old Gold". It's depth of lingering hop flavor awakens the palate.",1
2306,"American-Style Amber/Red Ale","Artist Colony Ale",5.5,1206,,1
2307,"German-Style Oktoberfest","Berghoff Oktoberfest Beer",5.1999998093,868,,1
2311,"American-Style India Pale Ale","India Pale Ale",6.3000001907,1220,"First brewed with an extra dose of hops to help it survive the long journey from England to beer lovers in India, India Pale Ale is now brewed just for the pleasure of its distinctive hoppy flavor.",1
2316,"German-Style Doppelbock","Shantytown Doppelbock",6.5,1301,"The sun barely breaks the horizon, the arctic winds bite, and snow blankets the land. Itâ€™s winter in Wisconsin! Throughout the area, youâ€™ll find armies of fisherman, clad in blaze orange parkas and snowmobile suits, dragging their crudely built ice shanties onto the frozen lakes. While they vary in size, shape and color, each shanty contains an enthusiast braving the cold; spinning their tall tales; staring deeply into that hole in the ice; and, of course, enjoying a Legendary Wisconsin Beer. Brewed in the fall to help you survive our Wisconsin winters.


Shantytown Doppelbock is brewed in the style of a German Doppelbock. Brown in color with malty sweetness and a full body.",1
2337,"Old Ale","Conquest Ale",9,572,,1
2342,"Traditional German-Style Bock","Detonator Doppelbock",8,526,,1
2347,"German-Style Schwarzbier","Schwarz Bier",4.8000001907,1017,,1
2349,"American-Style Stout","Hercule Stout",9,191,,1
2352,"Belgian-Style Tripel","Triple Karmeliet",8,269,"LOOK:

Tripel Karmeliet is a very refi ned and complex golden-to-bronze brew with a fantastic creamy head. These characteristics derive not only from the grains used but also from restrained hopping with Styrians and the fruity nature (banana and vanilla) of the house yeast.


SMELL:

Very refined and complex. Hints of vanilla mixed with citrus aromas.


TASTE:

Tripel Karmeliet has not only the lightness and freshness of wheat, but also the creaminess of oats together with a spicy lemony almost quinine

dryness.",1
2356,"American-Style Stout","D. Carnegie and Company Porter",5.5,1016,,1
2360,"American-Style India Pale Ale","Bottle Rocket IPA",6.5,1013,"An explosion of hops dominate this deep golden ale. Brewed with four varieties of hops & dry hopped with three other hops, the flavor is powerful. Not a harsh bitterness, but a full hop flavor.",1
2369,"American-Style India Pale Ale","Pride of Romsey IPA",5,627,,1
2372,"Scotch Ale","Red MacGregor",5,953,"Red Macgregor is a unique beer: delicate and sophisticated yet the robust cask conditioned version of this beer was the first Scottish beer to win the BIIA World Cask Beer Gold Medal.


On the nose, this ruby-red beer is delicate, floral and fruity, with notes of violets, cherries, toffee and caramel. 


On the palate, the fruits combine with a juicy malt character and hints of toasted malt, with a biscuit malt and spicy hop finish.",1
2376,"American-Style Brown Ale","Rugged Trail Ale",4.4000000954,1286,"Designed as our session beer, Rugged Trail Nut Brown Ale is bronze in color with a velvety smooth taste and subtle chocolate note. Rugged Trailâ€™s lower alcohol content and subtle hoppiness make it the perfect beer to enjoy during the day and into the night.",1
2379,"American-Style Stout","A. LeCoq Imperial Extra Double Stout 1999",9,637,,1
2384,"Other Belgian-Style Ales","Rare Vos",6.5,249,,1
2414,"American-Style India Pale Ale","High Seas IPA",7,853,"Our interpretation of a legendary style ale is not for the timid. Assertively hoppy and dangerously seductive. A skillful blend of three premium barley malts with generous amounts of Northern Brewer and Cascade Hops creates a special ale to satisfy even the most demanding palate.",1
2416,"American-Style India Pale Ale","Point Defiance IPA",5.5999999046,633,"Four types of malted barley, including a specially roasted Belgium barley make up the grain bill. Centennial, Sterling, and Amarillo hops provide the big hoppy flavor. Double dry-hopped, once with raw Centennial hops and once with raw Amarillo hops present this beer's huge hop aroma.",1
2428,Porter,"Old Redwood Porter",5.5,1254,,1
2447,"American-Style India Pale Ale","Big Eye IPA",6,68,"ndia Pale Ale is a style of beer that was developed in England during the period of the British Empire. It is derived from bitter ales but contains even more alcohol and hops. This helped preserve the beer on its long sea journey around Cape Hope to India.


British troops returning from India brought their love of this beer back with them so breweries began brewing it for the home market as well. Sadly, the style had mostly died out in England by the late twentieth century.


American home brewers began to brew I.P.A. because of their love for the intense hoppiness of the style. In time American I.P.A.s became much more aggressively bitter and hoppy than their historical predecessors.


Big Eye I.P.A. is our version of this wonderful style.  American Centennial hops are  used exclusively to bitter, flavor, finish, and dry hop the Big Eye. Its full hop flavor is guaranteed to please the palate of the true hop head.",1
2454,"American-Style India Pale Ale","Pick Axe IPA",6.5,1165,,1
2475,"American-Style Pale Ale","Pale Ale",5.5199999809,909,,1
2530,"Imperial or Double India Pale Ale","Gubna Imperial IPA",10,956,"Emphasizing that complexity of character can arise from simple elements, this ale is made with three malts and one hop. Its light amber color and slightly spicy malt character are derived from the use of German Dark Munich Malt and Rye Malt respectively. North American 2-row barley combines with the other grains to lay the foundation for the hop onslaught to come. Summit hops are used exclusively in the boil for bitterness, flavor and aroma but it doesnâ€™t end there. Post-fermentation dry hopping allows the 9.5% ABV monstrosity to gently coax the citrus rind and grapefruit aroma to join the 100 IBUs already present. This beer should greet you with a pungent citrus blast, provide a spicy yet round middle and finish with a brisk, clean bitterness.",1
2546,"American-Style India Pale Ale","Hopyard IPA",5.3000001907,1070,,1
2560,Porter,"London Porter",5.4000000954,563,,1
2561,"Scottish-Style Light Ale","Dark Island",4.5999999046,953,"Dark Island is an iconic beer: a standard-bearer for traditional Scottish ales. In cask, this beer has twice won CAMRAâ€™s Champion Beer of Scotland.

On the nose, this dark beer offers bitter chocolate, figs, toffee and hints of fruit.


On the palate, this resolves into beautiful, silky-smooth, coffee-and-chocolate flavours, followed by figs, dates and dried fruits, with a very appealing, lingering aftertaste of fruits and hop bitterness.",1
2566,"English-Style Pale Mild Ale","Small Beer",3.2999999523,39,,1
2568,"English-Style Pale Mild Ale","Black Cat",3.4000000954,884,,1
2602,"American-Style Brown Ale","Albion Amber Ale",4.9000000954,827,,1
2603,"American-Style Pale Ale","Mt.Tam Pale Ale",5.8000001907,827,,1
2604,"American-Style Lager","Hefe Weiss",5.0999999046,827,,1
2610,"American-Style Lager","Catfish Cream Ale",5,13,,1
2638,"American-Style Pale Ale","Stone Teepee Pale Ale",5.75,1301,"The legend of Tyranena began 3,000 years ago, with a group of pyramids and effigy mounds constructed in a remote valley formed by a vast, slow-moving glacier.  


Today, these ancient "stone tepees" lie 60 feet below the surface of Rock Lake in Jefferson County, Wisconsin.  No one is certain how or why they were built, but many have speculated on their origin, purpose and the people who built them.  


We invite you to develop your own theories on the legend and mystery of Tyranena while enjoying a Stone Tepee Pale Ale.


 Stone Tepee Pale Ale is brewed in the tradition of an American pale ale.  This beer celebrates the American hop, with its characteristic bitterness, flavor and aroma.",1
2654,"American-Style Lager","Lager Beer",4.8000001907,381,,1
2656,"American-Style Pale Ale","India Pale Ale",4.8000001907,563,,1
2659,"American-Style Stout","Imperial Stout",6,1380,,1
2677,"American-Style India Pale Ale","Hop Hearty IPA",6.1999998093,907,,1
2695,"American-Style Pale Ale","Gold Ale",4.9000000954,385,,1
2717,"Traditional German-Style Bock",Korbinian,7.4000000954,88,,1
2720,Porter,Porter,6.8000001907,1319,,1
2739,"American-Style Pale Ale","Very Special Pale Golden Ale",5.9000000954,562,,1
2743,"American-Style Pale Ale","Alpha King Pale Ale",6.5999999046,1260,"Big American Pale Ale with citrusy aroma- a hop loverâ€™s cult beer and Three Floydsâ€™ flagship beer Brewed with Cenntennial, Cascade & Warrior Hops",1
2744,"American-Style Lager","High Gravity Lager",8.1000003815,1197,,1
2745,"Other Belgian-Style Ales","Bornem Triple",9,304,,1
2746,"Other Belgian-Style Ales","Bornem Double",8,304,,1
2747,"American-Style Amber/Red Ale","Bruegel Amber Ale",5.1999998093,304,,1
2748,"Traditional German-Style Bock","1888 Bock",5.1999998093,708,"In 1888, After enduring one of the coldest winters on record, the employees of Jacob Leinenkugel's spring brewery crafted their first seasonal beer to celebrate the coming of spring. They blended dark and pale roasted malted barley with select hops and allowed for longer aging to create a robust beer with an exceptionally creamy head. Unchanged since 1888, You'll find our bock's sturdy bod and deep color perfect to draw you out of one season and the into next.",1
2773,"American-Style Lager","Genesee Cream Ale",5.1999998093,656,,1
2791,"American-Style Lager","Lager Beer",5,897,,1
2793,"Traditional German-Style Bock","Oderbolz Bock",6.5,1103,,1
2798,"Scotch Ale","Duggie Meyer Wee Heavy",7,867,,1
2806,"Old Ale",Nocturn,9,1052,,1
2816,"South German-Style Hefeweizen","Samuel Adams Coastal Wheat",5.3000001907,157,"For our take on the classic hefeweizen style our search for unique ingredients led us to the Eureka and Lisbon varieties of lemon grown in three different regions of California.  These particular lemons added the perfect balance of citrus tartness and sweetness to accent the taste of the beer.  The spiciness of the Hallertau Mittelfruh and Spalt Spalter hops balance out the slightly sweet character of our breweryâ€™s own signature wheat malt, resulting in a crisp and refreshing wheat beer with a subtle lemon aroma and flavor.",1
2834,"American-Style Pale Ale","Singletrack Copper Ale",4.9699997902,160,,1
2886,"American-Style Lager",Robertus,6,111,"Christoffel Robertus is a low-fermenting ruby-red beer, brewed in the MÃ¼nchener-style. It is a malty, fresh beer with a light sweetness. The typical hop bitterness found in Blond, is very lightly present in Robertus. The use of an extensive amount of selected barley gives Robertus the special malty taste and aroma.",1
2889,"German-Style Pilsener","Columbus Pils",4.9000000954,1202,,1
2898,"American-Style Pale Ale","Iowa Pale Ale",5,1206,,1
2901,"American-Style Imperial Stout","Bourbon County Stout",13,585,"Brewed in honor of the 1000th batch at our original Clybourn brewpub. A liquid as dark and dense as a black hole with thick foam the color of a bourbon barrel. The nose is an intense mix of charred oak, chocolate, vanilla, caramel and smoke. One sip has more flavor than your average case of beer. A great cigar beer.",1
2905,"American-Style Lager",Dunkel,5.1999998093,56,"Our malty, sweet dark lager is a hometown favorite. Our Dunkel is packed with subtle roasted malt flavors without the excessive bitterness and heaviness of many dark beers and has a balanced hop finish.


GABF Gold Winner",1
2957,"Traditional German-Style Bock","Uff-Da Bock",6.75,907,,1
2972,"Belgian-Style White","Woody Creek White",4.8000001907,540,"Our tribute to the town we consider to be "Gonzo Ground Zero"... Woody Creek White is a traditional Belgian-style Wit Beer, brewed with unique ingredients like orange peel and coriander, resulting in a refreshing and slightly citrus flavor, perfect for the "Dog Days of Summer".",1
2985,"Imperial or Double India Pale Ale","Obliteration VI",8.5,858,"With passion & purpose, we present this series of experimental hop-driven beers. Using different hop varieties & brewing techniques, we aim to educate the palate & challenge the hophead in you.


Obliteration VI is a Double IPA brewed with Summit, Summit and Summit; 95 IBUâ€™s",1
2986,"American-Style Stout","Dragon Stout",7.5,442,,1
2989,"Traditional German-Style Bock",Doppelbock,6.8000001907,739,,1
3063,"American-Style Brown Ale",Alt,4.9000000954,1018,,1
3087,"German-Style Heller Bock/Maibock","Honey Double Maibock",7,1211,,1
3092,"American-Style Lager",Original,4.5999999046,708,,1
3094,"American-Style India Pale Ale","Paddywhack IPA",6.5,902,,1
3099,"American-Style Lager","Berghoff Original Lager Beer",5.5999999046,868,,1
3106,"American-Style Brown Ale","Saint Arnold Brown Ale",5.3000001907,1091,"A beautiful, deep copper brown ale. It has a full, malty body with hints of chocolate, a touch of sweetness and a light hop flavor. A complex malt character is created by combining five different types of malts. It has a rich, creamy head with a fine lace. The light fruitiness, characteristic of ales, is derived from a proprietary yeast strain. 


Saint Arnold Brown Ale is best consumed at 45-50Â° Fahrenheit.",1
3108,"Scotch Ale","Skullsplitter Ale",8.5,953,"Skull Splitter is our strongest ale: which is named after Thorfinn Einarsson who was the 7th Viking Earl of Orkney. Sophisticated, satiny smooth with a deceptively light character, it is a tribute to our colourful forbear.


On the nose, this strong beer has a fruity malt character, with hints of dark fruit, spicy hop, dates and figs.


On the palate, rich and complex with sweet toasted malt, molasses, fresh and dried fruit and hints of warming spices.",1
3112,"American-Style Lager","Atlas Lager",3.75,364,,1
3116,"South German-Style Hefeweizen","Hefe Weissbier",5.4000000954,88,,1
3121,"Classic English-Style Pale Ale","Old Speckled Hen",5.1999998093,890,,1
3123,"South German-Style Hefeweizen",Hefe-Weizen,4.6999998093,1220,,1
3127,"Belgian-Style Fruit Lambic","St. Louis Gueuze",4.5,303,,1
3132,"German-Style Schwarzbier","Brockton Black Lager",6.5,597,,1
3133,"American-Style Brown Ale","Traditional Ale",5,121,,1
3134,"American-Style Lager","Premium Lager",5.3000001907,579,,1
3140,"American-Style Pale Ale","Extra Pale Ale",5.4000000954,1220,,1
3141,"American-Style Brown Ale","Chubby Brown",8,1260,,1
3182,"South German-Style Hefeweizen","Weisse Hefe-Weizen",5.4000000954,1023,,1
3195,"American-Style Brown Ale",Alt,4.9000000954,448,,1
3201,"Traditional German-Style Bock","Dusseldorfer Doppelbock",6,1346,,1
3202,"American-Style Stout","Dublin Stout",6,1346,,1
3219,"Scotch Ale","Strong Scotch Ale",8.6000003815,235,,1
3237,"Winter Warmer","Sly Fox Christmas Ale",6.5,1158,"This malty, full-bodied red ale is made with traditional mulling spices: Ginger, Clove, All Spice, Cinnamon & Nutmeg. If this one doesn't get you into the Christmas spirit, you truly are a Scrooge.",1
3241,"Traditional German-Style Bock",Doppelbock,10,1218,,1
3251,"American-Style Pale Ale","Buzzard Breath (discontinued)",5,121,,1
3254,"American-Style Stout","Imperial Stout",8,965,,1
3284,Porter,"Storm Cellar Porter",5.6999998093,686,,1
3286,"American-Style Amber/Red Ale","Red Nectar",5,686,,1
3287,"American-Style Pale Ale","Gold Rush",4.5,686,,1
3341,"Light American Wheat Ale or Lager","Grozet Gooseberry and Wheat Ale",5,1367,,1
3350,"Winter Warmer",Jubelale,6.6999998093,441,"Did you know that Jubelale was the first beer ever bottled by Deschutes Brewery?  Highly anticipated every fall, Jubelale is in a category of its own with a flavor and following that is impossible to match.  Dark crystal malt creates that â€œlusciousâ€ holiday note while the roasty flavor and bountiful hops excite your tastebuds, reminding you why Jubelale is the perfect holiday beer",1
3352,"American-Style Pale Ale","Harvest Ale",6.5,1142,"The cornerstone of our Harvest series is the beer that started the modern-day fresh hop ale phenomenon in America, our original Harvest Ale. 


Created in 1996, Harvest Ale features Cascade and Centennial hops from the Yakima Valley in Eastern Washington. These hops are harvested and shipped as â€œwetâ€ un-dried hopsâ€”the same day they are pickedâ€”to our brewery in Chico where our brewers eagerly wait to get them into the brew kettle while their oils and resins are still at their peak.",1
3353,"American-Style Pale Ale","East India Pale Ale",4,1291,,1
3360,Porter,"Road Dog Ale",6,540,"Blessed by Hunter S. Thompson... Road Dog Porter was our first beer to be illustrated by Ralph Steadman. This is a dark, rich and malty beer, with hints of chocolate and licorice resulting from the use of four prized malts.",1
3367,"Light American Wheat Ale or Lager","Sweaty Betty Blonde",5.9000000954,160,,1
3375,"American-Style Pale Ale",Scotch,8,179,,1
3424,"American-Style Lager","Shiner Blonde",4.4000000954,1179,,1
3429,"Scotch Ale","Double Eagle \"High-Test\" Scotch Ale",8,985,,1
3458,"Winter Warmer","Hoppy Claus Holiday Ale",7.8000001907,674,"Our Holiday Ale is a â€œspecialâ€ version of our flagship product - Hoppy Faceâ„¢ Amber Ale; only bigger for you to enjoy during this holiday season!!! Characterized by its distinctive hop aroma and rich, ruby color, Hoppy Claus redefines the way you think about a holiday ale. Hoppy Claus uses only the finest two row malted barley, hops grown in the great Pacific Northwest, and some secret spices that we would love to tell you about; but are unable to do so. This combination results in a clean, crisp, and refreshingly unique hand-crafted experience. Hoppy Brewing Company has never used any artificial preservatives, flavors, or colors in any of its ales. The Hoppy label is your guarantee of purity.",1
3461,"American-Style Stout","Total Eclipse Black Ale",5.5999999046,674,"Total Eclipse Black Ale has been described as similar to a light, dry stout. Characterized by its distinctive hop aroma and rich, black color, Total Eclipse redefines the way you think about a dark ale. Brewed at a low temperature to create a refreshingly dry finish, Total Eclipse uses only the finest two row malted barley and hops grown in the great Pacific Northwest. This combination results in a clean, crisp, hand-crafted experience. Hoppy Brewing Company has never used any artificial preservatives, flavors, or colors in any of its ales. The Hoppy label is your guarantee of purity. 

Itâ€™s â€œtotallyâ€ out of this world delicious!!!",1
3463,"Winter Warmer","Saranac Winter Wassail",5.8000001907,512,"At the heart of Saranac Winter Wassail is a classic English ale brewed with English Malt & Fuggles Hops. Look for hits of cinnamon, nutmeg, orange and allspice. Cheers to the holiday season!",1
3480,"Golden or Blonde Ale","Liquid Sunshine Blonde Ale",5,674,"s a unique, all-natural style of beer that currently falls under the category of a Specialty Ale. In other words, there is no true category for this beer... Characterized by its distinctive Mount Hood hop aroma and beautiful blonde color, Liquid Sunshineâ„¢ is brewed at a low temperature to create a nice light dry finish. Using only the finest 2-row malted barley, wheat, rye, and great northwestern grown hops, this combination results in a clean, crisp, and uniquely refreshing beer. As usual, no artificial preservatives have been added to our beer during and/or after the brewing process...

Thereâ€™s nothing like it under the sun!!!",1
3483,"American-Style India Pale Ale","Hoppy Face Amber Ale",5.5,674,"Is an award-winning, traditional, all-natural style of beer that falls under the category of a "West Coast" India Pale Ale (IPA). Characterized by its high hop content, high alcohol content and deep amber color, Hoppy Faceâ„¢ is brewed using water with a high mineral content. Using only the finest 2-row malted barley and great northwestern grown hops, this combination results in a clean, crisp, well-balanced beer. As usual, no artificial preservatives have been added to our beer during and/or after the brewing process...

It will put a smile on your face!!!",1
3492,"American-Style Pale Ale","Thompson Pale Ale",5.5,1163,,1
3518,"Light American Wheat Ale or Lager","Apricot Wheat",5.0999999046,1029,,1
3518,"Light American Wheat Ale or Lager","Apricot Wheat",5.0999999046,1029,,1
3530,"American-Style India Pale Ale","Atta Boy IPA",7.3000001907,1004,,1
3531,"American-Style Lager","Honey Wheat",3.9000000954,1004,,1
3557,"American-Style Brown Ale","Brown Ale",5.5999999046,259,"A mix of Northern and Southern English Brown Ales, blending 6 malts into an All-American beer.",1
3559,"Golden or Blonde Ale","Base Camp Golden Ale",4.9000000954,520,"The lightest of FiftyFifty's ales, Base Camp is a thirst quenching delight. Pale straw to light gold in color, this beer has a mild malt flavor combined with light bitterness and hop flavor. This beer finishes dry and is very light and refreshing on the palate. Base Camp is a "session beer", meaning you can easily toss back a few in one sitting. So go ahead, pull up a chair and camp out for awhile.",1
3566,"Belgian-Style Dubbel","Affligem Dubbel",6.8000001907,12,"A reddish-brown abbey ale brewed with dark malts. The secondary fermentation gives a fruity aroma and a unique, spicy character with a distinctive aftertaste. Secondary fermentation in the bottle. Contains barley malt.",1
3567,"Belgian-Style Fruit Lambic","Mort Subite Gueuze Lambic",4.5,274,,1
3573,"Traditional German-Style Bock",Porteris,7,19,,1
3587,"American-Style Pale Ale","Mirrorpond Pale Ale",5,441,"Mirror Pond is just a short walk from the Deschutes Brewery & Public House in downtown Bend and reflects the Three Sisters Mountains. This scenic spot alongside the Deschutes River is the localsâ€™ choice for summer festivals and concerts.",1
3594,"Scotch Ale","Scotch brand Ale",7.1999998093,1031,,1
3597,"American-Style Brown Ale","Acme California Brown Ale",5.5999999046,919,,1
3602,"Belgian-Style Fruit Lambic","Samuel Adams Cranberry Lambic",5.9000000954,157,"Samuel Adams Cranberry Lambic is a fruit beer that draws its flavor not just from the cranberries it is brewed with, but also from the unique fermentation character imparted by the rare wild yeast strain. The result is a flavor rich in fruitiness and reminiscent of cranberries and bananas, cloves and nutmeg. The yeast fermentation also will create a slight sourness on the sides of the palate, a signature of the original Lambic style which, with the subtle cereal note from the wheat malt, remind its drinker that, as fruity a beer as this is, it is still a beer.",1
3616,"American-Style Lager","Storm Super Premium Malt Liquor",10,772,,1
3621,"Old Ale","Snow Cap",6.9000000954,1031,"A rich, full-bodied winter warmer crafted in the British tradition of holiday beers. This deep mahogany colored brew balances complex fruit flavors with a refreshingly smooth texture, making Snow Cap a highly drinkable and desirable cold weather companion.",1
3622,"American-Style Stout","Obsidian Stout",6.4000000954,441,"Obsidian Stout gets is inspiration from one of the world's largest obsidian flows at Newberry Volcano--just a few miles south of the brewery.  "The Big Obsidian Flow," as they call it, covers more than 700 acres with shiny black obsidian.",1
3624,"American-Style Pale Ale","Cascade Golden Ale",4.5,441,"Gracing the expansive Western skyline in Central Oregon, the Three Sistersâ€”Faith, Hope and Charityâ€”are three prominent peaks in the Cascade mountain range.  Local folklore credits the naming to 19th Century fur trappers.",1
3629,"Extra Special Bitter","Bachelor ESB",5.3000001907,441,"Standing alone, distant from the Three Sisters mountains nestled to the north, Bachelor Butte was originally called "Brother Jonathan" and then simply "The Bachelor" before becoming widely known today as Mt. Bachelor.",1
3647,"American-Style Pale Ale","Tall Tale Pale Ale",4.9000000954,333,"Big and bold, our Pale Ale distinguishes itself by its huge, fresh hop aroma and flavor. A combination of Cascade and Centennial hops, both in the kettle and during an extensive dry-hopped conditioning time, gives this beer its nectarious flavor.",1
3649,Porter,"Charles River Porter",6,333,"Charles River Porter


Deep and dark, full-bodied and robust, our Porter is crammed full of rich, roasted malt character. With underlying notes of fruitness, caramel and toffee, it finishes with a strong hop presence",1
3650,"American-Style Amber/Red Ale","Cambridge Amber",4.3000001907,333,"Well balanced, medium-bodied, with a deep amber-red color, this beer's complex palate covers all the bases. A malty caramel sweetness is followed by notes of chocolate and a dry, slightly roasty finish, complemented by a touch of fruity, spicy hops.",1
3661,"American-Style Pale Ale","Independence Ale",6.6999998093,251,,1
3696,"Old Ale","Falcon Lagrad Gammelbrygd",5.5999999046,345,,1
3704,"American-Style Amber/Red Ale","Red Jack",5,878,,1
3710,"American-Style Lager",Hinano,5,180,,1
3715,"American-Style Stout","Hart Espresso Stout",5.5999999046,1031,,1
3720,"American-Style India Pale Ale","5 C's IPA",6.5,1013,"Our interpretation of a West Coast IPA is golden, medium-bodied ale that is very hop forward.  The use of Cascade, Chinook, Columbus, Centennial and Crystal hops makes this beer a hopheadâ€™s dream.",1
3740,"German-Style Oktoberfest","Railyard Ale",5.1999998093,1379,"Our flagship brew is a smooth, amber beer that combines the malty goodness of an Octoberfest lager with the slight fruitiness of an ale. Hearty but refreshing.",1
